,precision,recall,f1-score,support
0,0.9547528517110266,0.7928639090622039,0.8663101604278075,6334.0
1,0.453561016243232,0.8206480783722683,0.5842274678111588,1327.0
accuracy,0.797676543532176,0.797676543532176,0.797676543532176,0.797676543532176
macro avg,0.7041569339771293,0.8067559937172362,0.7252688141194832,7661.0
weighted avg,0.867938915453911,0.797676543532176,0.8174492110605849,7661.0
